[2025-12-14T10:22:43.686Z] iter=1 success=1 failed=49 time=148ms
[2025-12-14T10:22:43.773Z] iter=2 success=0 failed=50 time=84ms
[2025-12-14T10:22:43.858Z] iter=3 success=0 failed=50 time=84ms
[2025-12-14T10:22:43.933Z] iter=4 success=0 failed=50 time=75ms
[2025-12-14T10:22:44.006Z] iter=5 success=0 failed=50 time=72ms
[2025-12-14T10:22:44.082Z] iter=6 success=0 failed=50 time=75ms
[2025-12-14T10:22:44.153Z] iter=7 success=0 failed=50 time=71ms
[2025-12-14T10:22:44.262Z] iter=8 success=0 failed=50 time=108ms
[2025-12-14T10:22:44.338Z] iter=9 success=0 failed=50 time=75ms
[2025-12-14T10:22:44.419Z] iter=10 success=0 failed=50 time=81ms
[2025-12-14T10:22:44.489Z] iter=11 success=0 failed=50 time=69ms
[2025-12-14T10:22:44.556Z] iter=12 success=0 failed=50 time=67ms
[2025-12-14T10:22:44.635Z] iter=13 success=0 failed=50 time=78ms
[2025-12-14T10:22:44.717Z] iter=14 success=0 failed=50 time=81ms
[2025-12-14T10:22:44.785Z] iter=15 success=0 failed=50 time=68ms
[2025-12-14T10:22:44.848Z] iter=16 success=0 failed=50 time=62ms
[2025-12-14T10:22:44.907Z] iter=17 success=0 failed=50 time=58ms
[2025-12-14T10:22:44.972Z] iter=18 success=0 failed=50 time=64ms
[2025-12-14T10:22:45.040Z] iter=19 success=0 failed=50 time=68ms
[2025-12-14T10:22:45.109Z] iter=20 success=0 failed=50 time=68ms
[2025-12-14T10:22:45.174Z] iter=21 success=0 failed=50 time=64ms
[2025-12-14T10:22:45.234Z] iter=22 success=0 failed=50 time=59ms
[2025-12-14T10:22:45.294Z] iter=23 success=0 failed=50 time=60ms
[2025-12-14T10:22:45.354Z] iter=24 success=0 failed=50 time=60ms
[2025-12-14T10:22:45.426Z] iter=25 success=0 failed=50 time=72ms
[2025-12-14T10:22:45.507Z] iter=26 success=0 failed=50 time=80ms
[2025-12-14T10:22:45.574Z] iter=27 success=0 failed=50 time=67ms
[2025-12-14T10:22:45.637Z] iter=28 success=0 failed=50 time=62ms
[2025-12-14T10:22:45.703Z] iter=29 success=0 failed=50 time=65ms
[2025-12-14T10:22:45.773Z] iter=30 success=0 failed=50 time=69ms
[2025-12-14T10:22:45.840Z] iter=31 success=0 failed=50 time=67ms
[2025-12-14T10:22:45.910Z] iter=32 success=0 failed=50 time=70ms
[2025-12-14T10:22:45.974Z] iter=33 success=0 failed=50 time=64ms
[2025-12-14T10:22:46.041Z] iter=34 success=0 failed=50 time=67ms
[2025-12-14T10:22:46.101Z] iter=35 success=0 failed=50 time=60ms
[2025-12-14T10:22:46.162Z] iter=36 success=0 failed=50 time=60ms
[2025-12-14T10:22:46.222Z] iter=37 success=0 failed=50 time=59ms
[2025-12-14T10:22:46.284Z] iter=38 success=0 failed=50 time=62ms
[2025-12-14T10:22:46.341Z] iter=39 success=0 failed=50 time=56ms
[2025-12-14T10:22:46.405Z] iter=40 success=0 failed=50 time=63ms
[2025-12-14T10:22:46.462Z] iter=41 success=0 failed=50 time=56ms
[2025-12-14T10:22:46.517Z] iter=42 success=0 failed=50 time=55ms
[2025-12-14T10:22:46.572Z] iter=43 success=0 failed=50 time=54ms
[2025-12-14T10:22:46.623Z] iter=44 success=0 failed=50 time=50ms
[2025-12-14T10:22:46.678Z] iter=45 success=0 failed=50 time=55ms
[2025-12-14T10:22:46.732Z] iter=46 success=0 failed=50 time=53ms
[2025-12-14T10:22:46.784Z] iter=47 success=0 failed=50 time=51ms
[2025-12-14T10:22:46.840Z] iter=48 success=0 failed=50 time=55ms
[2025-12-14T10:22:46.893Z] iter=49 success=0 failed=50 time=53ms
[2025-12-14T10:22:46.954Z] iter=50 success=0 failed=50 time=60ms
[2025-12-14T10:22:47.010Z] iter=51 success=0 failed=50 time=55ms
[2025-12-14T10:22:47.066Z] iter=52 success=0 failed=50 time=56ms
[2025-12-14T10:22:47.119Z] iter=53 success=0 failed=50 time=52ms
[2025-12-14T10:22:47.181Z] iter=54 success=0 failed=50 time=62ms
[2025-12-14T10:22:47.246Z] iter=55 success=0 failed=50 time=64ms
[2025-12-14T10:22:47.311Z] iter=56 success=0 failed=50 time=64ms
[2025-12-14T10:22:47.378Z] iter=57 success=0 failed=50 time=67ms
[2025-12-14T10:22:47.439Z] iter=58 success=0 failed=50 time=60ms
[2025-12-14T10:22:47.517Z] iter=59 success=0 failed=50 time=77ms
[2025-12-14T10:22:47.568Z] iter=60 success=0 failed=50 time=50ms
[2025-12-14T10:22:47.624Z] iter=61 success=0 failed=50 time=56ms
[2025-12-14T10:22:47.673Z] iter=62 success=0 failed=50 time=48ms
[2025-12-14T10:22:47.721Z] iter=63 success=0 failed=50 time=47ms
[2025-12-14T10:22:47.771Z] iter=64 success=0 failed=50 time=50ms
[2025-12-14T10:22:47.822Z] iter=65 success=0 failed=50 time=51ms
[2025-12-14T10:22:47.870Z] iter=66 success=0 failed=50 time=48ms
[2025-12-14T10:22:47.918Z] iter=67 success=0 failed=50 time=48ms
[2025-12-14T10:22:47.965Z] iter=68 success=0 failed=50 time=46ms
[2025-12-14T10:22:48.015Z] iter=69 success=0 failed=50 time=49ms
[2025-12-14T10:22:48.063Z] iter=70 success=0 failed=50 time=48ms
[2025-12-14T10:22:48.108Z] iter=71 success=0 failed=50 time=45ms
[2025-12-14T10:22:48.157Z] iter=72 success=0 failed=50 time=48ms
[2025-12-14T10:22:48.206Z] iter=73 success=0 failed=50 time=49ms
[2025-12-14T10:22:48.254Z] iter=74 success=0 failed=50 time=47ms
[2025-12-14T10:22:48.307Z] iter=75 success=0 failed=50 time=53ms
[2025-12-14T10:22:48.353Z] iter=76 success=0 failed=50 time=46ms
[2025-12-14T10:22:48.407Z] iter=77 success=0 failed=50 time=54ms
[2025-12-14T10:22:48.454Z] iter=78 success=0 failed=50 time=47ms
[2025-12-14T10:22:48.502Z] iter=79 success=0 failed=50 time=47ms
[2025-12-14T10:22:48.548Z] iter=80 success=0 failed=50 time=45ms
[2025-12-14T10:22:48.593Z] iter=81 success=0 failed=50 time=44ms
[2025-12-14T10:22:48.642Z] iter=82 success=0 failed=50 time=48ms
[2025-12-14T10:22:48.685Z] iter=83 success=0 failed=50 time=43ms
[2025-12-14T10:22:48.731Z] iter=84 success=0 failed=50 time=45ms
[2025-12-14T10:22:48.774Z] iter=85 success=0 failed=50 time=43ms
[2025-12-14T10:22:48.817Z] iter=86 success=0 failed=50 time=43ms
[2025-12-14T10:22:48.861Z] iter=87 success=0 failed=50 time=43ms
[2025-12-14T10:22:48.908Z] iter=88 success=0 failed=50 time=46ms
[2025-12-14T10:22:48.954Z] iter=89 success=0 failed=50 time=45ms
[2025-12-14T10:22:48.999Z] iter=90 success=0 failed=50 time=45ms
[2025-12-14T10:22:49.049Z] iter=91 success=0 failed=50 time=49ms
[2025-12-14T10:22:49.092Z] iter=92 success=0 failed=50 time=43ms
[2025-12-14T10:22:49.137Z] iter=93 success=0 failed=50 time=45ms
[2025-12-14T10:22:49.180Z] iter=94 success=0 failed=50 time=42ms
[2025-12-14T10:22:49.228Z] iter=95 success=0 failed=50 time=48ms
[2025-12-14T10:22:49.274Z] iter=96 success=0 failed=50 time=45ms
[2025-12-14T10:22:49.327Z] iter=97 success=0 failed=50 time=52ms
[2025-12-14T10:22:49.379Z] iter=98 success=0 failed=50 time=51ms
[2025-12-14T10:22:49.425Z] iter=99 success=0 failed=50 time=46ms
[2025-12-14T10:22:49.472Z] iter=100 success=0 failed=50 time=47ms
